,geometry,elevation,line_id
229,POINT Z (140324.749000002 393403.010000002 12.8350000000064),12.84,24
230,POINT Z (140317.57 393403.081 12.8029999999999),12.8,24
231,POINT Z (140304.787 393420.401999999 12.7390000000014),12.74,25
232,POINT Z (140310.357999999 393420.565000001 12.721000000005),12.72,25
233,POINT Z (140312.609999999 393420.631000001 10.8600000000006),10.86,25
234,POINT Z (140313.120000001 393420.645 10.7660000000033),10.77,25
235,POINT Z (140313.752999999 393420.664000001 10.8730000000069),10.87,25
236,POINT Z (140316.213 393420.736000001 12.7949999999983),12.8,25
237,POINT Z (140321.664999999 393420.895 12.8500000000058),12.85,25
238,POINT Z (140304.856899999 393426.191500001 12.2437999999966),12.24,26
239,POINT Z (140307.8653 393426.238200001 12.266300000003),12.27,26
240,POINT Z (140310.2632 393426.275400002 12.4073000000062),12.41,26
241,POINT Z (140311.0308 393426.287300002 11.7658999999985),11.77,26
242,POINT Z (140311.741500001 393426.298300002 11.1205000000045),11.12,26
243,POINT Z (140312.3277 393426.307399999 10.7367999999988),10.74,26
244,POINT Z (140312.9005 393426.316300001 10.3625000000029),10.36,26
245,POINT Z (140313.2674 393426.322000001 10.344299999997),10.34,26
246,POINT Z (140313.628600001 393426.327599999 10.3755999999994),10.38,26
247,POINT Z (140314.223999999 393426.336800002 10.8522999999986),10.85,26
248,POINT Z (140315.499000002 393426.356600001 11.7765999999974),11.78,26
249,POINT Z (140316.301899999 393426.369100001 12.4165999999968),12.42,26
250,POINT Z (140317.928300001 393426.394299999 12.5135000000009),12.51,26
251,POINT Z (140321.3433 393426.447299998 12.4174000000057),12.42,26
252,POINT Z (140217.662 393439.458999999 12.2599999999948),12.26,27
253,POINT Z (140218.9936 393439.571400002 11.6915000000008),11.69,28
254,POINT Z (140218.2381 393441.342999999 11.6238000000012),11.62,28
255,POINT Z (140235.155999999 393442.241 12.398000000001),12.4,29
256,POINT Z (140216.046999998 393443.502 12.247000000003),12.25,27
257,POINT Z (140217.1809 393443.821899999 11.6875),11.69,28
258,POINT Z (140216.8829 393444.520799998 11.193299999999),11.19,28
259,POINT Z (140215.473999999 393444.938999999 10.7839999999997),10.78,27
260,POINT Z (140215.335000001 393445.285 10.6670000000013),10.67,27
261,POINT Z (140216.555500001 393445.2885 10.3862999999983),10.39,28
262,POINT Z (140216.3675 393445.729400001 10.25),10.25,28
263,POINT Z (140215.063999999 393445.965999998 10.7829999999958),10.78,27
264,POINT Z (140216.226199999 393446.060600001 10.2679999999964),10.27,28
265,POINT Z (140215.955200002 393446.6963 10.7195999999967),10.72,28
266,POINT Z (140215.882800002 393446.865899999 10.9477999999945),10.95,28
267,POINT Z (140215.737500001 393447.206500001 11.2562000000034),11.26,28
268,POINT Z (140214.519000001 393447.329 12.0929999999935),12.09,27
269,POINT Z (140215.490600001 393447.785700001 11.6970000000001),11.7,28
270,POINT Z (140213.827 393449.063000001 12.2550000000047),12.26,27
271,POINT Z (140232.500999998 393449.844000001 12.2580000000016),12.26,29
272,POINT Z (140214.350400001 393450.459199999 11.6922999999952),11.69,28
273,POINT Z (140231.973999999 393451.171999998 11.0080000000016),11.01,29
274,POINT Z (140231.831 393451.473000001 10.8279999999941),10.83,29
275,POINT Z (140231.666000001 393452.192000002 11.0629999999946),11.06,29
276,POINT Z (140231.083999999 393453.943999998 12.3310000000056),12.33,29
277,POINT Z (140212.843800001 393453.9921 11.5862000000052),11.59,28
278,POINT Z (140230.504000001 393455.638999999 12.3110000000015),12.31,29
279,POINT Z (140227.434999999 393461.969999999 12.1370000000024),12.14,29
280,POINT Z (140299.335099999 393468.523600001 11.9755000000005),11.98,30
281,POINT Z (140308.344000001 393469.203000002 12.6530000000057),12.65,32
282,POINT Z (140298.4463 393470.750700001 11.9642000000022),11.96,30
283,POINT Z (140303.828000002 393471.392999999 12.5200000000041),12.52,31
284,POINT Z (140297.1743 393473.937899999 12.0148999999947),12.01,30
285,POINT Z (140296.926100001 393474.559799999 11.5038999999961),11.5,30
286,POINT Z (140296.653900001 393475.241999999 10.9094999999943),10.91,30
287,POINT Z (140296.538699999 393475.530499999 10.7212),10.72,30
288,POINT Z (140302.710999999 393475.991999999 12.4579999999987),12.46,31
289,POINT Z (140296.351300001 393476.000100002 10.3671000000031),10.37,30
290,POINT Z (140296.239999998 393476.278999999 10.344299999997),10.34,30
291,POINT Z (140296.141899999 393476.524700001 10.3684000000067),10.37,30
292,POINT Z (140295.9267 393477.064100001 10.7333999999973),10.73,30
293,POINT Z (140306.309 393477.068 12.5139999999956),12.51,32
294,POINT Z (140295.7042 393477.6215 11.1748999999982),11.17,30
295,POINT Z (140302.236000001 393477.947999999 10.8359999999957),10.84,31
296,POINT Z (140295.416099999 393478.343499999 11.6799000000028),11.68,30
297,POINT Z (140302.123 393478.410999998 10.7140000000072),10.71,31
298,POINT Z (140301.989 393478.965999998 10.8929999999964),10.89,31
299,POINT Z (140305.743000001 393479.127 10.9049999999988),10.91,32
300,POINT Z (140305.546999998 393479.721000001 10.7799999999988),10.78,32
301,POINT Z (140294.865899999 393479.722100001 11.7299999999959),11.73,30
302,POINT Z (140305.359999999 393480.298999999 11.0359999999928),11.04,32
303,POINT Z (140301.607000001 393480.537000001 12.1079999999929),12.11,31
304,POINT Z (140304.923999999 393481.513999999 12.0859999999957),12.09,32
305,POINT Z (140301.221000001 393482.127 12.2219999999943),12.22,31
306,POINT Z (140293.619600002 393482.844900001 11.6852999999974),11.69,30
307,POINT Z (140304.43 393483.853999998 12.1659999999974),12.17,32
308,POINT Z (140302.385000002 393489.783 12.0910000000003),12.09,32
309,POINT Z (140325.386999998 393505.931000002 12.2360000000044),12.24,33
310,POINT Z (140315.818 393506.063999999 12.1879999999946),12.19,33
311,POINT Z (140313.550999999 393506.142000001 10.7580000000016),10.76,33
312,POINT Z (140314.105 393506.171999998 10.9619999999995),10.96,33
313,POINT Z (140312.965 393506.182999998 10.8310000000056),10.83,33
314,POINT Z (140301.522 393506.197000001 12.0010000000038),12.0,33
315,POINT Z (140317.984999999 393506.213 12.3010000000068),12.3,33
316,POINT Z (140309.995999999 393506.294 12.0430000000051),12.04,33
317,POINT Z (140311.647 393506.381000001 11.9660000000003),11.97,33
318,POINT Z (140305.031399999 393508.694600001 11.4749000000011),11.47,34
319,POINT Z (140308.469900001 393508.785300002 11.4593000000023),11.46,34
320,POINT Z (140311.546999998 393508.8664 11.421199999997),11.42,34
321,POINT Z (140312.011 393508.878699999 11.1190000000061),11.12,34
322,POINT Z (140312.562399998 393508.893199999 10.6946999999927),10.69,34
323,POINT Z (140313.2016 393508.910100002 10.2100999999966),10.21,34
324,POINT Z (140313.457800001 393508.9168 10.175900000002),10.18,34
325,POINT Z (140313.830400001 393508.926600002 10.2752000000037),10.28,34
326,POINT Z (140314.5189 393508.944800001 10.6812999999966),10.68,34
327,POINT Z (140315.138900001 393508.961199999 11.1132000000071),11.11,34
328,POINT Z (140315.897999998 393508.981199998 11.6318000000028),11.63,34
329,POINT Z (140317.797699999 393509.031300001 11.7508999999991),11.75,34
